名字,期刊,ISSN,EISSN,最新IF ,5年IF,JCR分区,中科院分区,中科院预警,,,,,,
UCJC Business and Society Review,UCJC BUS SOC REV,2659-3270,2659-3270,0.5,0.3,Q4,,,,,,,,
Chemical and Process Engineering-New Frontiers,CHEM PROCESS ENG-N F,0208-6425,2300-1925,0.5,0.5,Q4,,,,,,,,
e-Journal of Surface Science and Nanotechnology,E-J SURF SCI NANOTEC,1348-0391,1348-0391,0.5,0.6,Q4,,,,,,,,
Electronics and Communications in Japan,ELECTR COMMUN JPN,1942-9533,1942-9541,0.5,0.5,Q4,,,,,,,,
Etic net-Revista Cientifica Electronica de Educacion y Comunicacion en la Sociedad del Conocimiento,ETIC NET,1695-324X,1695-324X,0.5,0.4,Q4,,,,,,,,
Gradevnski Materijiali I Konstrukcije-Building Materials and Structures,GRADEV MATER KONSTR,2217-8139,2217-8139,0.5,0.3,Q4,,,,,,,,
INDIAN JOURNAL OF CHEMICAL TECHNOLOGY,INDIAN J CHEM TECHN,0971-457X,0975-0991,0.5,0.6,Q4,,,,,,,,
Ingenieria y Competitividad,ING COMPET,0123-3033,0123-3033,0.5,0.4,Q4,,,,,,,,
International Journal of Innovation,INT J INNOV,2318-9975,2318-9975,0.5,1,Q4,,,,,,,,
International Journal of Manufacturing Research,INT J MANUF RES,1750-0591,1750-0605,0.5,N/A,Q4,,,,,,,,
INTERNATIONAL JOURNAL OF MATERIALS & PRODUCT TECHNOLOGY,INT J MATER PROD TEC,0268-1900,1741-5209,0.5,0.7,Q4,,,,,,,,
Journal of Chemistry and Technologies,J CHEM TECHNOL,2663-2934,2663-2942,0.5,0.5,Q4,,,,,,,,
Journal of Historical Research in Marketing,J HIST RES MARKETING,1755-750X,1755-7518,0.5,0.6,Q4,,,,,,,,
Journal of Regional and City Planning,J REG CITY PLAN,2502-6429,2502-6429,0.5,0.8,Q4,,,,,,,,
Journal of Siberian Federal University-Chemistry,J SIB FED UNIV-CHEM,1998-2836,2313-6049,0.5,0.5,Q4,,,,,,,,
Journal of Surface Investigation,J SURF INVESTIG,1027-4510,1819-7094,0.5,0.4,Q4,,,,,,,,
Plasmatology,PLASMATOLOGY,2634-8535,2634-8535,0.5,0.5,Q4,,,,,,,,
Quaderni di Geofisica,QUAD GEOFIS,1590-2595,1590-2595,0.5,0.3,Q4,,,,,,,,
Revista de Estudios Politicos,REV ESTUD POLIT,0048-7694,1989-0613,0.5,0.5,Q4,,,,,,,,
Sudan Journal of Medical Sciences,SUDAN J MED SCI,N/A,1858-5051,0.5,0.4,Q3,,,,,,,,
Acciones e Investigaciones Sociales,ACCIONES INVEST SOC,1132-192X,2340-4507,0.5,0.3,Q3,,,,,,,,
Bulgarian Journal of Agricultural Science,BULG J AGRIC SCI,1310-0351,1310-0351,0.5,0.5,Q4,,,,,,,,
Chemistry Journal of Moldova,CHEM J MOLD,1857-1727,2345-1688,0.5,0.8,Q4,,,,,,,,
Desafios,DESAFIOS,0124-4035,2145-5112,0.5,0.6,Q4,,,,,,,,
International Journal of Environment and Waste Management,INT J ENVIR WASTE MA,1478-9876,1478-9868,0.5,N/A,Q4,,,,,,,,
Korean Chemical Engineering Research,KOREAN CHEM ENG RES,0304-128X,2233-9558,0.5,0.4,Q4,,,,,,,,
Materia-Rio de Janeiro,MATERIA-BRAZIL,1517-7076,1517-7076,0.5,0.5,Q4,,,,,,,,
Revista Argentina de Ciencias del Comportamiento,REV ARGENT CIENC COM,1852-4206,1852-4206,0.5,0.7,Q4,,,,,,,,
Revue Francaise d Allergologie,REV FR ALLERGOL,1877-0320,N/A,0.5,0.4,Q4,,,,,,,,
South African Journal of Industrial Engineering,S AFR J IND ENG,1012-277X,2224-7890,0.5,0.7,Q4,,,,,,,,
Sri Lanka Journal of Social Sciences,SRI LANKA J SOC SCI,0258-9710,2478-1169,0.5,0.5,Q3,,,,,,,,
Studia Universitatis Babes-Bolyai Chemia,STUD U BABES-BOL CHE,1224-7154,N/A,0.5,0.5,Q4,,,,,,,,
Advances in Energy Research,ADV ENERGY RES,2287-6316,2287-6324,0.5,0.5,Q4,,,,,,,,
ARCHIVOS LATINOAMERICANOS DE NUTRICION,ARCH LATINOAM NUTR,0004-0622,2309-5806,0.5,0.4,Q4,,,,,,,,
Composites Research,COMPOS RES,2288-2103,2288-2111,0.5,0.4,Q4,,,,,,,,
Environment Protection Engineering,ENVIRON PROT ENG,0324-8828,N/A,0.5,0.6,Q4,,,,,,,,
Hungarian Journal of Industry and Chemistry,HUNG J IND CHEM,0133-0276,0133-0276,0.5,0.5,Q4,,,,,,,,
International Journal of Business,INT J BUS,1083-4346,1083-4346,0.5,0.7,Q4,,,,,,,,
MILITARY OPERATIONS RESEARCH,MIL OPER RES,1082-5983,2163-2758,0.5,0.5,Q4,,,,,,,,
Nanobiotechnology Reports,NANOBIOTECHNOL REP,2635-1676,2635-1684,0.5,0.5,Q4,,,,,,,,
Revista Mexicana de Neurociencia,REV MEX NEUROCIENC,1665-5044,1665-5044,0.5,0.3,Q4,,,,,,,,
Territorios,TERRITORIOS,0123-8418,2215-7484,0.5,0.7,Q4,,,,,,,,
BULLETIN MONUMENTAL,B MONUMENTAL,0007-473X,N/A,0.5,0.3,N/A,,,,,,,,
INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,INT J ENVIRON POLLUT,0957-4352,1741-5101,0.5,0.6,Q4,,,,,,,,
International Journal of Environmental Technology and Management,INT J ENVIRON TECHNO,1466-2132,1741-511X,0.5,0.6,Q4,,,,,,,,
International Journal of Geotechnical Earthquake Engineering,INT J GEOTECH EARTHQ,1947-8488,1947-8496,0.5,0.8,Q4,,,,,,,,
NAUTILUS,NAUTILUS,0028-1344,0028-1344,0.5,0.5,Q4,,,,,,,,
Podium-Sport Leisure and Tourism Review,PODIUM,2316-932X,2316-932X,0.5,0.5,Q4,,,,,,,,
Revista Iteckne,REV ITECKNE,1692-1798,2339-3483,0.5,0.4,Q4,,,,,,,,
Revue Internationale PME,REV INT PME,0776-5436,0776-5436,0.5,0.4,Q4,,,,,,,,
Transition,TRANSITION,0041-1191,1527-8042,0.5,0.4,Q4,,,,,,,,
Cuadernos de Desarrollo Rural,CUAD DESARRO RURAL,0122-1450,2215-7727,0.5,0.6,Q4,,,,,,,,
PHYSICS WORLD,PHYS WORLD,0953-8585,2058-7058,0.5,0.5,Q4,,,,,,,,
Revista de Educacion y Derecho-Educational and Law Review,REV EDUC DERECHO,2013-584X,2386-4885,0.5,0.4,Q4,,,,,,,,
Zona Proxima,ZONA PROX,1657-2416,2145-9444,0.5,0.4,Q4,,,,,,,,
Culturales,CULTURALES,1870-1191,2448-539X,0.5,0.2,Q4,,,,,,,,
Pharmaceutical Care Espana,PHARM CARE ESP,1139-6202,1139-6202,0.5,0.3,Q4,,,,,,,,
Eria-Revista cuatrimestral de Geografia,ERIA,0211-0563,0211-0563,0.5,0.3,Q3,,,,,,,,
Gestao e Desenvolvimento,GEST DESENVOLV,1807-5436,2446-6875,0.5,0.4,Q4,,,,,,,,
Region et Developpement,REG DEV,1267-5059,2117-0843,0.5,0.4,Q4,,,,,,,,
MILTON QUARTERLY,MILTON QUART,0026-4326,1094-348X,0.4,0.2,N/A,,,,,,,,
Literator-Journal of Literary Criticism Comparative Linguistics and Literary Studies,LITERATOR,0258-2279,2219-8237,0.4,0.3,N/A,,,,,,,,
NEW GERMAN CRITIQUE,NEW GER CRIT,0094-033X,1558-1462,0.4,0.4,N/A,,,,,,,,
Studia Aurea-Revista de Literatura Espanola y Teoria Literaria del Renacimiento y Siglo de Oro,STUD AUREA,1988-1088,1988-1088,0.4,0.3,N/A,,,,,,,,
Journal of Medieval Iberian Studies,J MEDIEV IBER STUD,1754-6559,1754-6567,0.4,0.7,N/A,,,,,,,,
Comedia Performance,COMEDIA PERFORM,1553-6505,2572-4428,0.4,N/A,N/A,,,,,,,,
Urban History,URBAN HIST,0963-9268,1469-8706,0.4,0.7,Q1,,,,,,,,
TDR-The Drama Review-The Journal of Performance Studies,TDR-DRAMA REV-J PERF,1054-2043,1531-4715,0.4,0.6,N/A,,,,,,,,
TRADITIO-STUDIES IN ANCIENT AND MEDIEVAL HISTORY THOUGHT AND RELIGION,TRADITIO,0362-1529,2166-5508,0.4,0.5,N/A,,,,,,,,
Partial Answers-Journal of Literature and the History of Ideas,PARTIAL ANSW,1565-3668,1936-9247,0.4,0.3,N/A,,,,,,,,
Cormac McCarthy Journal,CORMAC MCCARTHY J,2333-3073,2333-3065,0.4,0.2,N/A,,,,,,,,
Journal of World Literature,J WORLD LIT,2405-6472,2405-6480,0.4,N/A,N/A,,,,,,,,
DEUTSCHE VIERTELJAHRSSCHRIFT FUR LITERATURWISSENSCHAFT UND GEISTESGESCHICHTE,DEUT VIER LIT GEIST,0012-0936,2365-9521,0.4,0.3,N/A,,,,,,,,
DESIGN ISSUES,DES ISSUES,0747-9360,1531-4790,0.4,1,N/A,,,,,,,,
STUDIES IN ROMANTICISM,STUD ROMANTICISM,0039-3762,2330-118X,0.4,0.4,N/A,,,,,,,,
Journal of Early Modern Studies,J EARLY MOD STUD,2279-7149,2279-7149,0.4,0.3,N/A,,,,,,,,
JOURNAL OF MEDIEVAL AND EARLY MODERN STUDIES,J MEDIEV EARLY MOD S,1082-9636,N/A,0.4,0.4,N/A,,,,,,,,
Law & Literature,LAW LIT,1535-685X,1541-2601,0.4,0.4,N/A,,,,,,,,
Theatre Dance and Performance Training,THEATR DANCE PERFORM,1944-3927,1944-3919,0.4,0.4,N/A,,,,,,,,
DANCE RESEARCH JOURNAL,DANCE RES J,0149-7677,1940-509X,0.4,0.6,N/A,,,,,,,,
DIPLOMATIC HISTORY,DIPLOMATIC HIST,0145-2096,1467-7709,0.4,0.7,Q1,,,,,,,,
Eighteenth-Century Fiction,EIGHTEENTH-CENTURY F,0840-6286,1911-0243,0.4,0.5,N/A,,,,,,,,
COMPARATIVE LITERATURE STUDIES,COMP LITERATURE STUD,0010-4132,1528-4212,0.4,0.3,N/A,,,,,,,,
JOURNAL OF FOLKLORE RESEARCH,J FOLKLORE RES,0737-7037,1543-0413,0.4,0.4,N/A,,,,,,,,
MODERN DRAMA,MOD DRAMA,0026-7694,1712-5286,0.4,0.3,N/A,,,,,,,,
Cold War History,COLD WAR HIST,1468-2745,1743-7962,0.4,0.8,Q1,,,,,,,,
Journal of the Philosophy of History,J PHILOS HIST,1872-261X,1872-2636,0.4,0.6,N/A,,,,,,,,
MNEMOSYNE,MNEMOSYNE,0026-7074,1568-525X,0.4,0.5,N/A,,,,,,,,
THEATRE NOTEBOOK,THEATRE NOTEBOOK,0040-5523,2051-8358,0.4,0.4,N/A,,,,,,,,
ARIEL-A REVIEW OF INTERNATIONAL ENGLISH LITERATURE,ARIEL-REV INT ENGL,0004-1327,1920-1222,0.4,0.5,N/A,,,,,,,,
Music Theory Online,MUSIC THEORY ONLINE,1067-3040,1067-3040,0.4,0.6,N/A,,,,,,,,
JOURNAL OF VISUAL CULTURE,J VIS CULT,1470-4129,1741-2994,0.4,1,Q3,,,,,,,,
Tydskrif vir letterkunde,TYDSKR LETT,0041-476X,N/A,0.4,0.3,N/A,,,,,,,,
ENGLISH,ENGLISH,0013-8215,1756-1124,0.4,0.3,N/A,,,,,,,,
Islam and Christian-Muslim Relations,ISLAM CHRIST-MUSLIM,0959-6410,1469-9311,0.4,0.5,N/A,,,,,,,,
Journal of Contemporary Drama in English,J CONTEMP DRAMA ENGL,2195-0156,2195-0164,0.4,0.3,N/A,,,,,,,,
Eastern African Literary and Cultural Studies,E AFR LIT CULT STUD,2327-7408,2327-7416,0.4,N/A,N/A,,,,,,,,
SOUTH AFRICAN HISTORICAL JOURNAL,S AFR HIST J,0258-2473,1726-1686,0.4,0.6,Q1,,,,,,,,
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,AB IMP,2166-4072,2164-9731,0.4,0.4,Q1,,,,,,,,
ART BULLETIN,ART BULL,0004-3079,1559-6478,0.4,0.5,N/A,,,,,,,,
Critical Historical Studies,CRIT HIST STUD,2326-4462,2326-4470,0.4,0.7,Q1,,,,,,,,
JOURNAL OF PACIFIC HISTORY,J PAC HIST,0022-3344,1469-9605,0.4,0.5,Q1,,,,,,,,
Shakespeare,SHAKESPEARE,1745-0918,1745-0926,0.4,0.3,N/A,,,,,,,,
PACIFIC HISTORICAL REVIEW,PAC HIST REV,0030-8684,N/A,0.4,0.6,Q1,,,,,,,,
Modern Italy,MOD ITALY,1353-2944,1469-9877,0.4,0.5,Q1,,,,,,,,
Sound Studies,SOUND STUD,2055-1940,2055-1959,0.4,N/A,N/A,,,,,,,,
Sport History Review,SPORT HIST REV,1087-1659,1543-2947,0.4,0.5,Q1,,,,,,,,
HISTORIA-ZEITSCHRIFT FUR ALTE GESCHICHTE,HISTORIA-Z ALTE GES,0018-2311,0018-2311,0.4,0.4,Q1,,,,,,,,
JOURNAL OF HISTORICAL SOCIOLOGY,J HIST SOCIOL,0952-1909,1467-6443,0.4,0.7,Q4,,,,,,,,
Journal of Muslim Minority Affairs,J MUSLIM MINOR AFF,1360-2004,1469-9591,0.4,0.7,N/A,,,,,,,,
HOLOCAUST AND GENOCIDE STUDIES,HOLOCAUST GENOCIDE S,8756-6583,1476-7937,0.4,0.5,Q1,,,,,,,,
Acta Neophilologica,ACTA NEOPHILOL,0567-784X,2350-417X,0.4,0.3,N/A,,,,,,,,
Aramaic Studies,ARAMAIC STUD,1477-8351,1745-5227,0.4,0.3,N/A,,,,,,,,
MODERN PHILOLOGY,MOD PHILOLOGY,0026-8232,1545-6951,0.4,0.5,N/A,,,,,,,,
CENTRAL EUROPEAN HISTORY,CENT EUR HIST,0008-9389,1569-1616,0.4,0.6,Q1,,,,,,,,
JOURNAL FOR THE STUDY OF RELIGIONS AND IDEOLOGIES,J STUDY RELIG IDEOL,1583-0039,1583-0039,0.4,0.3,N/A,,,,,,,,
Journal of Screenwriting,J SCREENWRITING,1759-7137,1759-7145,0.4,0.5,N/A,,,,,,,,
Religion & Education,RELIGION EDUC,1550-7394,1949-8381,0.4,0.5,N/A,,,,,,,,
RELIGIOUS EDUCATION,RELIGIOUS EDUC,0034-4087,1547-3201,0.4,0.5,N/A,,,,,,,,
RHETORICA-A JOURNAL OF THE HISTORY OF RHETORIC,RHETORICA,0734-8584,1533-8541,0.4,0.3,N/A,,,,,,,,
Journal of Urban Culture Research,J URBAN CULT RES,2228-8279,2408-1213,0.4,0.4,N/A,,,,,,,,
LEONARDO,LEONARDO,0024-094X,1530-9282,0.4,0.4,N/A,,,,,,,,
PAPERS OF THE BIBLIOGRAPHICAL SOCIETY OF AMERICA,PAP BIBLIOGR SOC AM,0006-128X,2377-6528,0.4,0.3,N/A,,,,,,,,
Philosophy and Cosmology-Filosofiya i Kosmologiya,PHILOS COSMOL,2307-3705,2518-1866,0.4,0.2,N/A,,,,,,,,
Revista de Cancioneros Impresos y Manuscritos,REV CANCION IMPR MAN,2254-7444,2254-7444,0.4,0.3,N/A,,,,,,,,
Journal for the Study of Religion Nature and Culture,J STUD RELIG NAT CUL,1749-4907,1749-4915,0.4,0.6,N/A,,,,,,,,
Journal of the Gilded Age and Progressive Era,J GILDED AGE PROGR E,1537-7814,1943-3557,0.4,0.5,Q1,,,,,,,,
Conservar Patrimonio,CONSERV PATRIM,1646-043X,2182-9942,0.4,0.4,N/A,,,,,,,,
International Journal of Applied Psychoanalytic Studies,INT J APPL PSYCH STU,1742-3341,1556-9187,0.4,0.6,Q3,,,,,,,,
Transfers-Interdisciplinary Journal of Mobility Studies,TRANSFERS,2045-4813,2045-4821,0.4,0.6,Q1,,,,,,,,
WORD-JOURNAL OF THE INTERNATIONAL LINGUISTIC ASSOCIATION,WORD,0043-7956,2373-5112,0.4,0.5,Q4,,,,,,,,
VITRUVIO-International Journal of Architectural Technology and Sustainability,VITRUVIO,2444-9091,2444-9091,0.4,0.4,N/A,,,,,,,,
Logica Universalis,LOG UNIVERSALIS,1661-8297,1661-8300,0.4,0.5,Q4,,,,,,,,
Nordic Journal of Religion and Society,NORD J RELIG SOC,0809-7291,1890-7008,0.4,0.5,N/A,,,,,,,,
Studies in Australasian Cinema,STUD AUSTRALAS CINE,1750-3175,1750-3183,0.4,0.3,N/A,,,,,,,,
Annales-Anali za Istrske in Mediteranske Studije-Series Historia et Sociologia,ANN-ANAL ISTRSKE MED,1408-5348,2591-1775,0.4,0.3,N/A,,,,,,,,
Emotions-History Culture Society,EMOTIONS,2206-7485,2208-522X,0.4,0.4,N/A,,,,,,,,
Law Culture and the Humanities,LAW CULT HUMANIT,1743-8721,1743-9752,0.4,0.5,Q3,,,,,,,,
JEWISH QUARTERLY REVIEW,JEWISH QUART REV,0021-6682,1553-0604,0.4,0.4,N/A,,,,,,,,
JOURNAL OF SOUTHEAST ASIAN STUDIES,J SOUTHEAST ASIAN ST,0022-4634,1474-0680,0.4,0.8,N/A,,,,,,,,
METAPHILOSOPHY,METAPHILOSOPHY,0026-1068,1467-9973,0.4,0.6,N/A,,,,,,,,
LION AND THE UNICORN,LION UNICORN,0147-2593,1080-6563,0.4,0.5,N/A,,,,,,,,
SOUTHEASTERN EUROPE,SOUTHEAST EUR,0094-4467,1876-3332,0.4,0.7,Q3,,,,,,,,
Erasmus Studies,ERASMUS STUD,0276-2854,1874-9275,0.4,0.3,N/A,,,,,,,,
Fashion Style & Popular Culture,FASH STYLE POP CULT,2050-0726,2050-0734,0.4,0.5,N/A,,,,,,,,
SOUTHERN CULTURES,SOUTH CULT,1068-8218,1534-1488,0.4,0.3,Q1,,,,,,,,
Historia Agraria,HIST AGRAR,1139-1472,2340-3659,0.4,0.6,Q1,,,,,,,,
International Journal of Conflict and Violence,INT J CONFL VIOLENCE,1864-1385,1864-1385,0.4,1.5,Q4,,,,,,,,
Journal of Anglican Studies,J ANGLICAN STUD,1740-3553,1745-5278,0.4,0.4,N/A,,,,,,,,
Journal of Modern Jewish Studies,J MOD JEW STUD,1472-5886,1472-5894,0.4,0.5,N/A,,,,,,,,
Dutch Crossing-Journal of Low Countries Studies,DUTCH CROSSING,0309-6564,1759-7854,0.4,0.3,N/A,,,,,,,,
JOURNAL OF AESTHETIC EDUCATION,J AESTHET EDUC,0021-8510,1543-7809,0.4,0.5,N/A,,,,,,,,
JOURNAL OF INDIAN PHILOSOPHY,J INDIAN PHILOS,0022-1791,1573-0395,0.4,0.4,N/A,,,,,,,,
Positions-Asia Critique,POSITIONS-ASIA CRIT,1067-9847,1527-8271,0.4,0.5,N/A,,,,,,,,
Practical Theology,PRACT THEOL,1756-073X,1756-0748,0.4,0.4,N/A,,,,,,,,
Sungkyun Journal of East Asian Studies,SUNGKYUN J EAST ASIA,1598-2661,N/A,0.4,0.4,N/A,,,,,,,,
International Journal of Public Theology,INT J PUBLIC THEOL,1872-5171,1569-7320,0.4,0.3,N/A,,,,,,,,
Studia Historica-Historia Medieval,STUD HIST-HIST MEDIE,0213-2060,0213-2060,0.4,0.4,N/A,,,,,,,,
Skhidnoievropeiskyi Istorychnyi Visnyk-East European Historical Bulletin,SKHIDNOIEVRO ISTOR V,2519-058X,2519-058X,0.4,0.3,Q1,,,,,,,,
Contributions to the History of Concepts,CONTRIB HIST CONCEPT,1807-9326,1874-656X,0.4,0.6,Q1,,,,,,,,
Journal of Australian Studies,J AUST STUD,1444-3058,1835-6419,0.4,0.8,Q1,,,,,,,,
WESTERN HISTORICAL QUARTERLY,WESTERN HIST QUART,0043-3810,1939-8603,0.4,0.3,Q1,,,,,,,,
European Journal for Philosophy of Religion,EUR J PHILOS RELIG,1689-8311,1689-8311,0.4,0.3,N/A,,,,,,,,
Religion and Theology-A Journal of Contemporary Religious Discourse,RELIG THEOL,1023-0807,1574-3012,0.4,0.4,N/A,,,,,,,,
VSWG-Vierteljahrschrift fur Sozial-und Wirtschaftsgeschichte,VSWG-VIERTELJAHR SOZ,0340-8728,0340-8728,0.4,0.4,Q1,,,,,,,,
Mission Studies,MISSION STUD,0168-9789,1573-3831,0.4,0.3,N/A,,,,,,,,
AGRICULTURAL HISTORY,AGR HIST,0002-1482,1533-8290,0.4,0.6,Q3,,,,,,,,
AMERASIA JOURNAL,AMERASIA J,0044-7471,0044-7471,0.4,1,N/A,,,,,,,,
JOURNAL OF RELIGION,J RELIG,0022-4189,1549-6538,0.4,0.4,N/A,,,,,,,,
PHRONESIS-A JOURNAL FOR ANCIENT PHILOSOPHY,PHRONESIS,0031-8868,1568-5284,0.4,0.5,N/A,,,,,,,,
Journal for the Cognitive Science of Religion,J COGN SCI RELIG,2049-7555,2049-7563,0.4,0.7,N/A,,,,,,,,
MEXICAN STUDIES-ESTUDIOS MEXICANOS,MEX STUD,0742-9797,N/A,0.4,0.3,Q1,,,,,,,,
HARVARD CIVIL RIGHTS-CIVIL LIBERTIES LAW REVIEW,HARVARD CIVIL RIGHTS,0017-8039,1943-5061,0.4,1.3,Q3,,,,,,,,
Reti Saperi Linguaggi-Italian Journal of Cognitive Sciences,RETI SAPERI LINGUAGG,1826-8889,2279-7777,0.4,0.3,N/A,,,,,,,,
Journal of Al-Tamaddun,J AL-TAMADDUN,1823-7517,1823-7517,0.4,0.4,N/A,,,,,,,,
ACTA MUSICOLOGICA,ACTA MUSICOLOGICA,0001-6241,N/A,0.4,0.2,N/A,,,,,,,,
ISRAEL LAW REVIEW,ISR LAW REV,0021-2237,2047-9336,0.4,0.5,Q3,,,,,,,,
Journal for the Study of the Pseudepigrapha,J STUDY PSEUDEPIGR,0951-8207,1745-5286,0.4,0.6,N/A,,,,,,,,
EIGHTEENTH-CENTURY STUDIES,EIGHTEENTH-CENT STUD,0013-2586,1086-315X,0.4,0.5,N/A,,,,,,,,
Afkar-Jurnal Akidah & Pemikiran Islam-Journal of Aqidah & Islamic Thought,AFKAR,1511-8819,2550-1755,0.4,0.4,N/A,,,,,,,,
Faith and Philosophy,FAITH PHILOS,0739-7046,2153-3393,0.4,0.5,N/A,,,,,,,,
JOURNAL OF FAMILY HISTORY,J FAM HIST,0363-1990,1552-5473,0.4,0.7,Q3,,,,,,,,
Approaching Religion,APPROACHING RELIG,1799-3121,1799-3121,0.4,0.3,N/A,,,,,,,,
International Journal of Islamic Thought,INT J ISLAM THOUGHT,2232-1314,2289-6023,0.4,0.4,N/A,,,,,,,,
International Journal of Persian Literature,INT J PERSIAN LIT,2376-5739,2376-5755,0.4,0.5,N/A,,,,,,,,
MUSIC & LETTERS,MUSIC LETT,0027-4224,1477-4631,0.4,0.4,N/A,,,,,,,,
Muziki-Journal of Music Research in Africa,MUZIKI,1812-5980,1753-593X,0.4,0.4,N/A,,,,,,,,
JOURNAL OF JEWISH STUDIES,J JEWISH STUD,0022-2097,0022-2097,0.4,0.4,N/A,,,,,,,,
JOURNAL OF THE HISTORY OF SEXUALITY,J HIST SEXUALITY,1043-4070,1535-3605,0.4,0.6,Q4,,,,,,,,
Luxury-History Culture Consumption,LUX-HIST CULT CONSUM,2051-1817,2051-1825,0.4,0.3,N/A,,,,,,,,
PHILOSOPHY EAST & WEST,PHILOS EAST WEST,0031-8221,1529-1898,0.4,0.5,N/A,,,,,,,,
Review of Law & Economics,REV LAW ECON,2194-6000,1555-5879,0.4,0.4,Q3,,,,,,,,
Aboriginal History,ABORIG HIST,0314-8769,1837-9389,0.4,0.5,Q1,,,,,,,,
JOURNAL OF PSYCHOLOGY AND THEOLOGY,J PSYCHOL THEOL,0091-6471,2328-1162,0.4,0.8,N/A,,,,,,,,
Theology & Sexuality,THEOL SEX,1355-8358,1745-5170,0.4,0.4,N/A,,,,,,,,
Problemy Muzykalnoi Nauki-Music Scholarship,PROBL MUZYKALNOI NAU,2782-358X,2782-3598,0.4,0.2,N/A,,,,,,,,
Culture & History Digital Journal,CULT HIST DIGIT J,2253-797X,2253-797X,0.4,0.3,Q1,,,,,,,,
Journal of Landscape Architecture,J LANDSC ARCHIT,1862-6033,2164-604X,0.4,1,N/A,,,,,,,,
EUROPEAN HISTORY QUARTERLY,EUR HIST Q,0265-6914,1461-7110,0.4,0.6,Q4,,,,,,,,
Intellectual Discourse,INTELLECT DISCOURSE,0128-4878,2289-5639,0.4,0.5,N/A,,,,,,,,
Journal of Policy History,J POLICY HIST,0898-0306,1528-4190,0.4,0.5,Q4,,,,,,,,
Architectural Histories,ARCHIT HIST-LONDON,2050-5833,2050-5833,0.4,0.5,N/A,,,,,,,,
Atlantis-Journal of the Spanish Association of Anglo-American Studies,ATLANTIS-SPAIN,0210-6124,1989-6840,0.4,0.5,N/A,,,,,,,,
Environmental and Planning Law Journal,ENVIRON PLAN LAW J,0813-300X,0813-300X,0.4,0.4,Q3,,,,,,,,
Journal of Religion in Europe,J RELIG EUR,1874-8910,1874-8929,0.4,0.3,N/A,,,,,,,,
PSYCHOANALYTIC INQUIRY,PSYCHOANAL INQ,0735-1690,1940-9133,0.4,0.4,Q3,,,,,,,,
Apeiron-A Journal for Ancient Philosophy and Science,APEIRON-J ANC PHILOS,0003-6390,2156-7093,0.4,0.4,N/A,,,,,,,,
Canadian Journal of Law and Jurisprudence,CAN J LAW JURISD,0841-8209,2056-4260,0.4,0.5,Q3,,,,,,,,
Journal of Aesthetics & Culture,J AESTHET CULT,2000-4214,2000-4214,0.4,0.4,N/A,,,,,,,,
Journal of Applied Logics-IfCoLoG Journal of Logics and their Applications,J APPL LOG-IFCOLOG,2631-9810,2631-9829,0.4,0.4,Q4,,,,,,,,
Journal of Popular Television,J POP TELEV,2046-9861,2046-987X,0.4,0.2,N/A,,,,,,,,
Algebra and Logic,ALGEBR LOG+,0002-5232,1573-8302,0.4,0.5,Q4,,,,,,,,
European Journal of Cultural Management and Policy,EUR J CULT MANAG POL,2663-5771,2663-5771,0.4,0.3,N/A,,,,,,,,
Financial History Review,FINANC HIST REV,0968-5650,1474-0052,0.4,0.6,Q3,,,,,,,,
Investigaciones de Historia Economica,INVESTIG HIST ECON,1698-6989,2340-3373,0.4,0.5,Q1,,,,,,,,
Occasional Papers on Religion in Eastern Europe,OCCAS PAP RELIG E EU,N/A,1069-4781,0.4,0.3,N/A,,,,,,,,
Psychoanalytic Study of the Child,PSYCHOANAL STUD CHIL,0079-7308,2474-3356,0.4,0.4,Q3,,,,,,,,
PUBLICATIONES MATHEMATICAE DEBRECEN,PUBL MATH-DEBRECEN,0033-3883,2064-2849,0.4,0.5,Q4,,,,,,,,
STUDIA LINGUISTICA,STUD LINGUISTICA,0039-3193,1467-9582,0.4,0.6,N/A,,,,,,,,
HISTORICAL ARCHAEOLOGY,HIST ARCHAEOL,0440-9213,2328-1103,0.4,0.8,N/A,,,,,,,,
JUVENILE AND FAMILY COURT JOURNAL,JUVENILE FAM COURT J,0161-7109,1755-6988,0.4,0.7,Q3,,,,,,,,
Oxford Journal of Law and Religion,OXF J LAW RELIG,2047-0770,2047-0789,0.4,0.5,Q3,,,,,,,,
Fieldwork in Religion,FIELDWORK RELIG,1743-0615,1743-0623,0.4,0.4,N/A,,,,,,,,
International Community Law Review,INT COMMUNITY LAW RE,1871-9740,1871-9732,0.4,0.6,Q3,,,,,,,,
Journal of Germanic Linguistics,J GER LINGUIST,1470-5427,1475-3014,0.4,0.6,Q4,,,,,,,,
Journal of Iberian and Latin American Research,J IBER LAT AM RES,1326-0219,2151-9668,0.4,0.3,N/A,,,,,,,,
REGISTER Journal,REGIST J,1979-8903,2503-040X,0.4,0.7,Q4,,,,,,,,
Cognitive Studies-Etudes Cognitives,COGN STUD-POLAND,2080-7147,2392-2397,0.4,0.4,N/A,,,,,,,,
Boletim Sociedade Paranaense de Matematica,BOL SOC PARANA MAT,0037-8712,2175-1188,0.4,0.4,Q4,,,,,,,,
